Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.147178,0,0.0,0,0,0,0,0,0.0
0.147503,1,1.0,1,1,1,1,1,1.0
0.147503,0,0.0,0,0,0,0,0,0.0
0.148034,1,1.0,1,1,1,1,1,1.0
0.148034,0,0.0,0,0,0,0,0,0.0
0.149039,1,1.0,1,1,1,1,1,1.0
0.149039,0,0.0,0,0,0,0,0,0.0
0.150055,1,1.0,1,1,1,1,1,1.0
0.150055,0,0.0,0,0,0,0,0,0.0
0.151023,1,1.0,1,1,1,1,1,1.0
0.151023,0,0.0,0,0,0,0,0,0.0
0.151077,1,1.0,1,1,1,1,1,1.0
0.151077,0,0.0,0,0,0,0,0,0.0
0.152082,1,1.0,1,1,1,1,1,1.0
0.152082,0,0.0,0,0,0,0,0,0.0
0.15221,1,1.0,1,1,1,1,1,1.0
0.15221,0,0.0,0,0,0,0,0,0.0
0.153082,1,1.0,1,1,1,1,1,1.0
0.153082,0,0.0,0,0,0,0,0,0.0
0.154085,1,1.0,1,1,1,1,1,1.0
0.154085,0,0.0,0,0,0,0,0,0.0
0.155092,1,1.0,1,1,1,1,1,1.0
0.155092,0,0.0,0,0,0,0,0,0.0
0.156095,1,1.0,1,1,1,1,1,1.0
0.156095,0,0.0,0,0,0,0,0,0.0
0.15655,1,1.0,1,1,1,1,1,1.0
0.15655,0,0.0,0,0,0,0,0,0.0
0.158112,1,1.0,1,1,1,1,1,1.0
0.158112,0,0.0,0,0,0,0,0,0.0
0.15912,1,1.0,1,1,1,1,1,1.0
0.15912,0,0.0,0,0,0,0,0,0.0
0.16013,1,1.0,1,1,1,1,1,1.0
0.16013,0,0.0,0,0,0,0,0,0.0
