Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
20.4,14.2192,15.3121,18.6061,15.7303,18.5805,14.5805,14.6746,17.13
20.5,14.2472,15.3633,18.8377,15.8366,18.7061,14.6008,14.6824,17.1836
20.6,14.3118,15.4312,18.8989,15.9482,18.8086,14.6107,14.6871,17.2124
20.7,14.3746,15.5815,18.9368,15.9718,18.8376,14.6303,14.7028,17.2383
20.8,14.3908,15.6948,19.0584,16.0151,18.8752,14.6507,14.7514,17.3298
20.9,14.3985,15.826,19.1548,16.1575,19.0006,14.6718,14.7637,17.4249
21.0,14.4875,15.9546,19.1825,16.2471,19.0809,14.6795,14.8041,17.5339
21.1,14.5781,16.2964,19.2378,16.3979,19.1663,14.8647,15.1931,17.6604
21.2,14.6273,16.3796,19.3452,16.4485,19.217,15.0,15.1996,17.7254
21.3,14.6444,16.4182,19.4171,16.5163,19.2505,15.0061,15.2176,17.7514
21.4,14.6582,16.5613,19.4815,16.5465,19.3662,15.0835,15.2262,17.7727
21.5,14.6989,16.607,19.5269,16.6765,19.459,15.114,15.2419,17.8522
21.6,14.703,16.6683,19.7007,16.7475,19.6346,15.1152,15.2936,17.8757
21.7,14.716,16.6961,19.8064,16.8072,19.7299,15.1453,15.2974,17.9122
21.8,14.7505,16.7603,19.9124,17.004,19.8024,15.1622,15.372,17.9206
21.9,14.7612,16.8315,20.0112,17.0786,19.8516,15.1723,15.3898,18.0269
22.0,14.7751,16.9357,20.07,17.2013,19.886,15.2074,15.3997,18.0483
22.1,14.7971,16.9442,20.1235,17.3806,19.9787,15.2252,15.4062,18.0686
22.2,14.8247,17.0351,20.2108,17.5333,20.0717,15.2486,15.4391,18.1756
22.3,14.8676,17.1226,20.3822,17.7781,20.168,15.2532,15.4788,18.1949
22.4,14.95,17.1423,20.4555,17.8286,20.2789,15.284,15.5002,18.293
22.5,14.975,17.1777,20.523,17.9861,20.3164,15.2902,15.5127,18.412
22.6,15.0032,17.2025,20.6006,18.1545,20.3431,15.2995,15.5263,18.4401
22.7,15.0187,17.2823,20.6314,18.2614,20.4294,15.3366,15.5443,18.525
22.8,15.0759,17.3229,20.7454,18.3333,20.575,15.3548,15.5494,18.6441
22.9,15.1183,17.354,20.839,18.4634,20.662,15.3622,15.5661,18.7
23.0,15.1262,17.4294,20.9184,18.5781,20.7268,15.3936,15.5804,18.7182
23.1,15.1482,17.6287,20.9521,18.6532,20.8272,15.4156,15.5926,18.7797
23.2,15.1677,17.7975,21.0454,18.8081,20.8714,15.4286,15.611,18.796
23.3,15.2026,17.841,21.1011,19.0296,20.9668,15.4345,15.6115,18.8035
23.4,15.2335,18.0583,21.129,19.0714,21.022,15.4706,15.627,18.8091
23.5,15.2521,18.0936,21.2893,19.1651,21.2022,15.4979,15.6474,18.8617
23.6,15.2904,18.112,21.3534,19.3554,21.2815,15.5403,15.6754,18.8905
23.7,15.3208,18.1602,21.4,19.489,21.3921,15.5483,15.6869,18.9134
23.8,15.3294,18.2109,21.4723,19.6139,21.4921,15.5801,15.7004,18.9495
23.9,15.3447,18.3043,21.5219,19.7996,21.5537,15.5932,15.7109,19.0126
24.0,15.3804,18.3485,21.6608,19.9053,21.6086,15.6005,15.7382,19.067
24.1,15.4159,18.4548,21.7215,19.9495,21.6949,15.6503,15.756,19.0786
24.2,15.4465,18.4891,21.7579,20.0978,21.7705,15.6785,15.7568,19.1253
24.3,15.4739,18.524,21.8052,20.3395,21.839,15.7129,15.7648,19.1398
24.4,15.4919,18.551,21.9145,20.4706,21.9195,15.7229,15.8056,19.1461
24.5,15.5171,18.5759,22.0265,20.8717,22.0236,15.7381,15.8327,19.1817
24.6,15.5476,18.596,22.0881,20.9881,22.074,15.7434,15.8502,19.2426
24.7,15.5717,18.6354,22.1837,21.1368,22.1705,15.7465,15.8779,19.3129
24.8,15.5945,18.6708,22.2952,21.2521,22.2244,15.7644,15.8789,19.3939
24.9,15.6174,18.7226,22.3745,21.4283,22.2591,15.7804,15.883,19.4201
25.0,15.6807,18.776,22.4681,21.9591,22.2806,15.7865,15.9007,19.468
25.1,15.7048,18.7835,22.5261,22.0073,22.3687,15.7941,15.9398,19.5234
25.2,15.7192,18.806,22.5895,22.1646,22.462,15.8199,15.9672,19.5842
25.3,15.7546,18.8231,22.6531,22.496,22.593,15.8472,15.9745,19.662
25.4,15.7748,18.9822,22.6981,22.5958,22.6869,15.8887,15.9877,19.7314
25.5,15.7847,19.0791,22.7898,22.8417,22.786,15.8997,16.0079,19.7452
25.6,15.8207,19.1991,22.848,23.1543,22.8801,15.9448,16.0512,19.8262
25.7,15.8536,19.2919,22.8916,23.3112,22.9834,15.9713,16.057,19.8822
25.8,15.874,19.4197,22.9403,23.5429,23.1759,15.9884,16.0845,19.9057
25.9,15.9033,19.4399,23.1567,23.7392,23.2874,15.9892,16.1076,19.9761
26.0,15.921,19.4523,23.2298,23.8484,23.3527,16.0247,16.1373,19.9908
26.1,15.9439,19.5258,23.4212,24.0633,23.4188,16.0576,16.144,20.0154
26.2,15.965,19.5634,23.5283,24.2999,23.4519,16.0672,16.1505,20.0476
26.3,15.9808,19.6238,23.5952,24.4359,23.5126,16.083,16.1623,20.0798
26.4,16.015,19.6835,23.7369,24.5479,23.5811,16.0891,16.1761,20.1411
26.5,16.0419,19.6896,23.8014,24.7143,23.6459,16.1127,16.1776,20.1519
26.6,16.0463,19.7212,23.869,24.8361,23.6962,16.1223,16.1963,20.1602
26.7,16.0611,19.755,23.9108,25.0185,23.7601,16.1316,16.2261,20.1733
26.8,16.0829,19.7937,23.939,25.1752,23.8667,16.1667,16.241,20.1808
26.9,16.1632,19.8774,24.0048,25.5191,24.0036,16.1919,16.244,20.2084
27.0,16.1919,19.9617,24.092,25.5295,24.1252,16.1924,16.2642,20.3074
27.1,16.1998,19.9929,24.2092,25.6511,24.3412,16.1955,16.2861,20.3256
27.2,16.2229,20.0323,24.2279,25.7915,24.4472,16.2048,16.305,20.3545
27.3,16.2311,20.0769,24.3099,25.8795,24.5111,16.2218,16.334,20.4113
27.4,16.2585,20.2226,24.3625,26.0436,24.6741,16.2328,16.3547,20.4191
27.5,16.3392,20.3351,24.4449,26.1564,24.722,16.2466,16.3631,20.4261
27.6,16.3675,20.3618,24.5675,26.2614,24.7909,16.2947,16.4192,20.457
27.7,16.3882,20.3909,24.6304,26.3657,24.8404,16.3142,16.4722,20.4617
27.8,16.4103,20.4747,24.6852,26.4742,24.9105,16.3717,16.4989,20.4701
27.9,16.4228,20.5152,24.7055,26.5878,25.0001,16.3817,16.5408,20.5553
28.0,16.4684,20.6368,24.7619,26.673,25.1289,16.392,16.544,20.6726
28.1,16.4909,20.6778,24.8606,26.8257,25.1796,16.4234,16.5721,20.6891
28.2,16.5188,20.76,24.8841,26.8889,25.2457,16.4258,16.5736,20.7638
28.3,16.5315,20.7829,24.9098,26.9836,25.3387,16.4286,16.5772,20.7915
28.4,16.5494,20.9338,24.9551,27.0731,25.4355,16.4407,16.5781,20.809
28.5,16.572,20.9565,25.0686,27.2369,25.5146,16.5015,16.5812,20.8718
28.6,16.5952,20.998,25.1514,27.3144,25.6828,16.5153,16.5826,20.9073
28.7,16.6161,21.0306,25.1806,27.4855,25.7678,16.5537,16.5923,20.9139
28.8,16.6383,21.1632,25.2878,27.6276,25.8068,16.5739,16.5931,20.9228
28.9,16.6663,21.2167,25.3471,27.7014,25.9535,16.6112,16.6065,20.9709
29.0,16.6772,21.3026,25.4006,27.7982,26.0651,16.6366,16.6262,21.1142
29.1,16.6934,21.3314,25.4673,28.0288,26.1485,16.6422,16.6583,21.1303
29.2,16.7059,21.3869,25.6632,28.1539,26.2539,16.6708,16.6646,21.1378
29.3,16.7369,21.4214,25.7899,28.2071,26.2945,16.6869,16.6653,21.1803
29.4,16.7586,21.4499,25.8878,28.3386,26.366,16.692,16.7423,21.2925
29.5,16.7591,21.4826,25.9953,28.4896,26.4557,16.7081,16.7443,21.3253
29.6,16.7738,21.5683,26.0976,28.6061,26.5199,16.727,16.7977,21.3861
29.7,16.8082,21.6507,26.2507,28.7197,26.6329,16.7287,16.7989,21.5771
29.8,16.8463,21.708,26.2769,28.8556,26.7286,16.7405,16.8015,21.6609
29.9,16.8867,21.7292,26.3364,29.0014,26.8212,16.7525,16.8339,21.7664
30.0,16.9211,21.7552,26.3725,29.1251,26.8799,16.7588,16.8729,21.8535
